 RespId,Q8_1,Q8_2,Q8_3,Q8_4,Q8_5,Q8_6,Q8_7,Q8_8,Q8_9
476777,Some,Some,Some,Some,Only a few,Some,Some,Some,Some
476779,A lot,Some,A lot,A lot,Some,A lot,Only a few,A lot,A lot
476780,Only a few,Only a few,Only a few,Only a few,None,Some,None,Only a few,A lot
476781,None,Only a few,Some,Some,Some,Only a few,Some,None,Some
476782,Only a few,None,Some,Only a few,None,None,None,A lot,Only a few
476783,None,Only a few,Some,A lot,Some,Only a few,Some,Some,A lot
476785,A lot,Some,Some,A lot,A lot,Some,Only a few,A lot,A lot
476787,Only a few,Some,Some,Some,Some,A lot,Only a few,A lot,A lot
476790,A lot,Only a few,Some,None,Only a few,Some,Only a few,A lot,Only a few
476791,Some,Some,Some,Only a few,Some,Only a few,Only a few,Some,Some
476793,A lot,Some,A lot,Some,Some,Some,Some,Some,Some
476794,None,None,Some,Some,None,Some,None,A lot,Only a few
476796,None,Only a few,Some,Only a few,Some,Only a few,None,Only a few,Some
487362,None,None,A lot,A lot,None,None,None,Only a few,A lot
476797,None,Only a few,None,Some,Only a few,Some,Only a few,None,Only a few
476798,None,Only a few,Only a few,Some,Some,Some,Only a few,Only a few,A lot
476800,A lot,Only a few,Some,Some,Only a few,Some,Only a few,A lot,Some
476801,None,Only a few,Some,A lot,Only a few,Only a few,Some,Some,Some
476802,None,Only a few,Some,A lot,Only a few,Some,Some,Some,Only a few
476803,None,Some,A lot,Some,A lot,A lot,Some,Some,Some
476804,None,None,Only a few,A lot,None,Some,None,A lot,Some
487371,Only a few,None,Some,A lot,None,Some,Only a few,Some,A lot
476805,None,Some,Only a few,A lot,A lot,Some,Some,Some,Only a few
476806,Some,Only a few,Some,Some,Some,Some,Some,Some,Some
476807,None,Some,Some,Some,Some,Only a few,Some,Some,A lot
476808,Some,Some,Some,Only a few,Only a few,A lot,None,A lot,Only a few
476809,None,Only a few,None,Some,None,Some,Some,Some,Only a few
476810,A lot,Some,Some,A lot,Some,A lot,Only a few,A lot,A lot
476811,A lot,Some,Some,Some,Only a few,A lot,Only a few,A lot,A lot
476812,None,Only a few,Only a few,Only a few,Some,Only a few,Only a few,Some,A lot
487380,Some,A lot,A lot,A lot,Only a few,Some,Only a few,Some,A lot
487381,A lot,Only a few,Only a few,Some,Only a few,A lot,Only a few,A lot,A lot
